platform,image_size,elapsed_time,overall_duration,network_duration,cpu_duration,ml_duration
Azure,256x256,0.6,0.42513,0.35202,0.00181,0.07129
OpenFaaS,256x256,0.35,0.30429,0.19079,0.00239,0.1111
Azure,512x512,0.6,0.51216,0.45355,0.00308,0.05553
OpenFaaS,512x512,0.52,0.47369,0.3651,0.00398,0.1046
Azure,1024x1024,0.77,0.66105,0.5934,0.01084,0.0568
OpenFaaS,1024x1024,0.35,0.31009,0.18633,0.0118,0.11195
Azure,1280x1280,0.8,0.71159,0.64051,0.01387,0.0572
OpenFaaS,1280x1280,0.38,0.33108,0.19333,0.02082,0.11691
Azure,1920x1920,0.32,0.19789,0.10112,0.0394,0.05737
OpenFaaS,1920x1920,1.01,0.96918,0.80679,0.05216,0.11022
Azure,2160x2160,1.12,0.98764,0.8672,0.04646,0.07398
OpenFaaS,2160x2160,0.9,0.86675,0.68436,0.05639,0.12599
Azure,2560x2560,1.4,1.27801,1.10623,0.0588,0.11297
OpenFaaS,2560x2560,1.4,1.33323,1.13018,0.08943,0.11362
Azure,2880x2880,1.6,1.42054,1.26385,0.07908,0.07761
OpenFaaS,2880x2880,1.52,1.46882,1.26336,0.0904,0.11505
Azure,3200x3200,1.68,1.56294,1.44374,0.05859,0.06061
OpenFaaS,3200x3200,1.72,1.67671,1.42391,0.15085,0.10195
